iceberg_id,latitude,longitude,area_km2,confidence,timestamp,pixel_count,id,size_major_km,size_minor_km
IB_062,-65.690458,135.891153,0.344,0.9235,2021-03-10 10:48:42,215,IB_062,0.6618114560725705,0.6618114560725705
IB_063,-65.99921,136.513956,0.3424,0.9458,2021-03-10 10:48:42,214,IB_063,0.6602705658420036,0.6602705658420036
IB_064,-65.862986,136.223489,0.3424,0.9539,2021-03-10 10:48:42,214,IB_064,0.6602705658420036,0.6602705658420036
IB_065,-65.802387,136.394055,0.3408,0.9296,2021-03-10 10:48:42,213,IB_065,0.65872607117507,0.65872607117507
IB_066,-65.821461,136.421402,0.2992,0.6015,2021-03-10 10:48:42,187,IB_066,0.6172141215046532,0.6172141215046532
IB_067,-66.0377,136.2023,0.2912,0.9315,2021-03-10 10:48:42,182,IB_067,0.6089066886041566,0.6089066886041566
IB_068,-65.706962,135.723833,0.2912,0.8994,2021-03-10 10:48:42,182,IB_068,0.6089066886041566,0.6089066886041566
IB_069,-65.860766,136.574226,0.2864,0.9475,2021-03-10 10:48:42,179,IB_069,0.6038673741908488,0.6038673741908488
IB_070,-65.990875,136.514131,0.2848,0.9543,2021-03-10 10:48:42,178,IB_070,0.6021782313738802,0.6021782313738802
IB_071,-66.011781,136.203865,0.2832,0.7473,2021-03-10 10:48:42,177,IB_071,0.6004843370721655,0.6004843370721655
IB_072,-66.005225,136.500788,0.2832,0.9483,2021-03-10 10:48:42,177,IB_072,0.6004843370721655,0.6004843370721655
IB_073,-65.871801,136.662183,0.2832,0.9425,2021-03-10 10:48:42,177,IB_073,0.6004843370721655,0.6004843370721655
IB_074,-66.101941,136.089459,0.28,0.7437,2021-03-10 10:48:42,175,IB_074,0.5970821321441847,0.5970821321441847
IB_075,-65.689569,135.832124,0.2752,0.9406,2021-03-10 10:48:42,172,IB_075,0.5919421616265536,0.5919421616265536
IB_076,-65.874779,136.587334,0.272,0.8906,2021-03-10 10:48:42,170,IB_076,0.5884905744087702,0.5884905744087702
IB_077,-65.74809,135.678176,0.2688,0.896,2021-03-10 10:48:42,168,IB_077,0.5850186233145162,0.5850186233145162
